@relation MIXED
@attribute v {False,True}
@attribute w {False,True}
@attribute x real
@attribute y real
@attribute class {p,n}

@data
False,False,0.123,0.159,n
False,False,0.481,0.207,p
True,False,0.733,0.999,n
True,True,0.608,0.495,p
False,False,0.494,0.128,n
False,True,0.227,0.628,p
True,True,0.214,0.678,p
False,False,0.366,0.166,n
False,True,0.888,0.541,n
True,False,0.130,0.331,n
True,False,0.441,0.191,p
True,False,0.911,0.511,p
True,True,0.105,0.119,p
True,True,0.485,0.806,p
False,True,0.884,0.605,p
True,False,0.880,0.860,n
False,True,0.436,0.046,p
False,False,0.173,0.318,n
True,True,0.836,0.977,p
False,False,0.287,0.636,p
True,False,0.523,0.284,n
True,True,0.732,0.927,p
True,True,0.969,0.348,p
False,True,0.333,0.659,n
False,False,0.333,0.106,n
True,True,0.305,0.795,p
True,False,0.704,0.473,p
False,False,0.165,0.189,p
False,True,0.671,0.846,p
False,True,0.698,0.414,n
False,False,0.106,0.076,p
True,True,0.167,0.688,p
True,False,0.951,0.152,p
False,False,0.299,0.811,n
True,False,0.297,0.540,p
True,True,0.295,0.449,p
True,False,0.238,0.018,p
False,True,0.469,0.307,n
False,True,0.254,0.362,n
True,True,0.437,0.704,n
True,True,0.134,0.563,p
True,True,0.106,0.112,p
False,False,0.598,0.951,n
False,False,0.001,0.875,n
False,True,0.092,0.197,p
False,True,0.385,0.964,n
True,True,0.663,0.290,p
True,False,0.010,0.685,n
True,False,0.325,0.777,n
False,False,0.827,0.702,n
False,True,0.744,0.666,p
False,False,0.303,0.256,n
False,True,0.875,0.458,n
False,True,0.217,0.825,p
False,True,0.372,0.072,p
True,True,0.374,0.935,n
True,False,0.169,0.042,p
True,True,0.228,0.128,n
False,True,0.211,0.004,p
True,False,0.485,0.874,n
True,True,0.547,0.231,p
False,True,0.485,0.017,p
True,True,0.174,0.923,p
True,True,0.055,0.607,p
True,True,0.645,0.659,p
True,False,0.270,0.660,p
True,False,0.472,0.351,n
False,False,0.768,0.922,n
False,True,0.260,0.358,p
False,True,0.270,0.402,p
True,False,0.526,0.304,n
False,True,0.883,0.304,p
True,False,0.845,0.907,n
True,False,0.726,0.960,n
False,True,0.684,0.823,n
True,True,0.857,0.379,p
True,False,0.341,0.942,n
False,True,0.051,0.602,p
False,False,0.423,0.659,n
True,False,0.071,0.346,p
True,True,0.609,0.782,p
True,False,0.596,0.760,p
False,True,0.075,0.499,p
False,True,0.826,0.922,n
False,True,0.585,0.840,n
True,True,0.358,0.162,p
True,False,0.428,0.204,p
True,False,0.485,0.131,p
False,False,0.977,0.462,n
False,True,0.823,0.826,n
False,False,0.704,0.980,p
True,False,0.785,0.575,p
False,False,0.983,0.529,n
True,False,0.794,0.492,n
False,False,0.216,0.641,n
True,False,0.543,0.228,p
False,True,0.013,0.308,p
False,True,0.807,0.596,p
False,True,0.984,0.696,n
True,False,0.306,0.660,n
False,True,0.616,0.001,p
False,True,0.362,0.351,p
True,False,0.976,0.059,p
True,False,0.594,0.437,n
True,True,0.746,0.687,p
True,True,0.890,0.395,n
True,False,0.534,0.001,p
True,False,0.790,0.995,n
True,True,0.653,0.313,p
False,False,0.206,0.792,n
False,True,0.658,0.737,n
True,False,0.762,0.134,p
True,True,0.129,0.999,n
True,True,0.630,0.851,p
True,False,0.958,0.469,p
False,True,0.294,0.832,n
False,False,0.359,0.513,n
True,False,0.661,0.319,p
True,False,0.643,0.090,p
True,True,0.246,0.851,p
False,False,0.656,0.746,n
False,True,0.754,0.019,n
False,False,0.452,0.276,n
False,True,0.762,0.877,n
False,False,0.145,0.201,n
False,True,0.525,0.603,n
True,True,0.109,0.000,p
False,False,0.317,0.867,n
True,True,0.498,0.359,p
True,False,0.676,0.220,p
True,False,0.884,0.674,n
True,False,0.711,0.523,p
True,False,0.324,0.837,n
True,False,0.822,0.398,p
False,True,0.204,0.974,p
True,True,0.055,0.658,p
False,False,0.697,0.617,n
False,False,0.539,0.151,n
False,True,0.206,0.835,n
True,True,0.539,0.217,p
True,True,0.420,0.555,p
True,True,0.540,0.847,n
False,True,0.591,0.840,n
False,False,0.302,0.465,n
False,True,0.062,0.145,p
True,False,0.464,0.812,n
False,False,0.491,0.073,n
False,False,0.538,0.933,n
True,False,0.760,0.926,n
True,False,0.043,0.516,p
False,False,0.241,0.679,n
False,False,0.220,0.011,n
True,True,0.648,0.444,p
False,True,0.950,0.293,p
False,True,0.010,0.366,n
True,True,0.513,0.954,p
False,True,0.810,0.842,n
True,False,0.400,0.726,n
True,False,0.697,0.774,n
False,True,0.875,0.151,p
True,False,0.359,0.176,p
False,False,0.266,0.526,n
True,True,0.914,0.947,p
True,True,0.604,0.739,p
False,True,0.571,0.525,n
False,True,0.497,0.247,n
True,True,0.597,0.087,p
True,False,0.164,0.792,p
True,True,0.386,0.320,p
False,False,0.309,0.684,n
True,True,0.081,0.830,p
True,True,0.208,0.683,p
True,False,0.002,0.959,n
False,False,0.073,0.651,n
True,False,0.535,0.374,n
True,False,0.192,0.074,p
False,True,0.015,0.363,p
False,True,0.895,0.216,p
True,False,0.905,0.889,n
False,False,0.293,0.711,p
True,True,0.410,0.792,n
False,False,0.113,0.020,n
False,False,0.962,0.943,n
False,True,0.094,0.843,n
False,True,0.857,0.539,p
True,True,0.978,0.130,p
True,False,0.386,0.803,n
False,True,0.008,0.183,p
False,False,0.991,0.276,n
True,True,0.865,0.295,p
False,True,0.134,0.528,p
True,False,0.700,0.538,p
False,True,0.195,0.493,p
False,False,0.265,0.304,n
False,False,0.325,0.561,n
False,True,0.337,0.614,n
True,False,0.648,0.611,n
True,True,0.898,0.996,p
False,False,0.889,0.367,n
True,True,0.492,0.502,p
False,False,0.286,0.507,n
False,False,0.981,0.928,n
True,False,0.447,0.014,p
False,True,0.819,0.076,p
False,True,0.106,0.277,p
False,True,0.350,0.087,p
False,False,0.338,0.772,n
False,True,0.438,0.519,n
False,False,0.207,0.705,n
False,False,0.452,0.406,n
True,True,0.483,0.271,p
True,True,0.189,0.975,p
True,False,0.315,0.133,p
True,True,0.404,0.229,p
True,True,0.804,0.857,p
True,False,0.420,0.460,n
True,True,0.088,0.008,p
True,False,0.077,0.022,p
False,False,0.668,0.701,n
True,False,0.610,0.072,p
False,False,0.056,0.604,n
True,True,0.207,0.322,p
False,True,0.585,0.091,n
False,True,0.549,0.696,n
False,True,0.661,0.489,n
True,False,0.700,0.133,n
True,False,0.806,0.164,p
True,False,0.140,0.989,n
True,False,0.767,0.073,p
False,True,0.870,0.004,p
False,False,0.640,0.234,n
True,False,0.896,0.510,p
True,False,0.233,0.303,p
False,False,0.842,0.473,n
False,True,0.367,0.956,n
False,True,0.520,0.476,n
True,False,0.907,0.690,p
False,False,0.651,0.367,n
True,False,0.607,0.832,n
False,True,0.677,0.735,n
False,True,0.377,0.930,n
False,True,0.333,0.334,p
False,True,0.875,0.190,p
False,False,0.675,0.185,n
True,False,0.572,0.326,n
False,True,0.986,0.102,p
False,False,0.075,0.645,n
False,True,0.186,0.846,p
True,False,0.066,0.867,n
False,True,0.385,0.623,n
False,False,0.125,0.432,n
True,False,0.372,0.497,n
True,True,0.541,0.596,p
False,False,0.697,0.726,n
False,True,0.943,0.365,p
True,True,0.153,0.179,p
True,False,0.729,0.931,n
True,False,0.681,0.195,p
True,True,0.719,0.855,p
False,False,0.860,0.847,n
False,False,0.903,0.319,n
True,True,0.988,0.412,p
False,False,0.610,0.105,n
False,False,0.296,0.312,n
True,True,0.064,0.695,p
True,True,0.951,0.649,p
True,False,0.617,0.608,n
True,False,0.380,0.102,p
True,False,0.064,0.319,p
False,False,0.621,0.242,n
False,True,0.921,0.229,p
False,True,0.644,0.741,n
True,False,0.702,0.311,p
False,True,0.150,0.164,n
True,True,0.254,0.327,p
True,False,0.802,0.502,p
True,False,0.605,0.066,p
True,False,0.388,0.578,n
False,True,0.776,0.796,n
True,False,0.185,0.478,p
True,False,0.442,0.792,n
True,True,0.547,0.751,p
False,True,0.005,0.644,n
True,False,0.510,0.541,n
True,True,0.525,0.894,p
False,True,0.666,0.586,n
False,False,0.098,0.512,n
False,True,0.896,0.843,n
True,True,0.744,0.772,p
False,True,0.427,0.732,n
False,True,0.576,0.260,p
False,True,0.674,0.745,n
False,True,0.881,0.343,p
False,False,0.281,0.755,n
True,True,0.137,0.953,p
True,True,0.108,0.204,p
False,False,0.269,0.433,n
True,False,0.639,0.410,n
True,True,0.014,0.365,p
False,False,0.970,0.063,n
True,True,0.806,0.220,p
False,True,0.688,0.735,n
True,True,0.084,0.850,p
True,False,0.253,0.135,p
False,True,0.967,0.038,p
False,True,0.725,0.899,n
True,True,0.287,0.798,p
False,False,0.686,0.496,n
False,True,0.093,0.910,n
True,True,0.136,0.535,p
False,False,0.472,0.069,n
True,False,0.564,0.999,p
True,False,0.727,0.287,p
True,True,0.013,0.122,p
False,False,0.411,0.197,n
False,False,0.288,0.534,p
False,False,0.921,0.432,n
False,False,0.508,0.533,n
True,False,0.900,0.800,n
True,True,0.143,0.103,p
False,False,0.553,0.186,n
True,False,0.148,0.960,n
False,False,0.710,0.382,n
True,True,0.557,0.035,p
True,True,0.733,0.560,p
True,True,0.209,0.802,p
True,True,0.397,0.146,p
True,False,0.731,0.839,n
False,False,0.910,0.138,n
True,False,0.433,0.469,n
True,False,0.114,0.587,p
True,False,0.867,0.375,p
True,False,0.662,0.996,n
True,True,0.871,0.610,p
True,False,0.495,0.191,p
False,True,0.030,0.400,p
False,False,0.903,0.525,n
True,False,0.627,0.016,p
True,False,0.334,0.661,n
False,False,0.131,0.482,n
True,True,0.772,0.354,p
True,False,0.853,0.456,p
False,True,0.392,0.730,n
False,False,0.016,0.840,n
False,False,0.326,0.327,n
True,False,0.977,0.258,p
False,True,0.930,0.306,p
True,False,0.308,0.506,p
False,True,0.234,0.182,p
False,False,0.097,0.711,p
True,True,0.596,0.594,n
False,True,0.045,0.849,n
False,True,0.115,0.795,n
True,False,0.810,0.200,p
True,True,0.864,0.945,p
